Interne Zeilen ID;Interne Firmen ID;Dienste nach Alphabet und Jahr;Name;Sitz;Rechtsform;Reg.-gericht;HR-Nr. (neueste);IK-Nr.;GF;Jahr;Anlagenintensität (Quote);Umlaufintensität (Quote);Forderungsintensität (Quote);Vorratsintensität (Quote);Eigenkapitalquote;Fremdkapitalquote;Verschuldungsgrad (Quote);Anlagendeckungsgrad 1 (Quote);Anlagendeckungsgrad 2 (Quote);Liquidität Grad 1 (Quote);Liquidität Grad 2 (Quote);Liquidität Grad 3 (Quote);Eigenkapitalrentabilität (Quote);Gesamtkapitalrentabilität (Quote);Personalaufwandsquote;Personalaufwand je MA;Materialaufwandsquote;Materialaufwand je MA;Anlagevermögen (Einzelwert);Umlaufvermögen (Einzelwert);Gesamtvermögen (Einzelwert);Forderungen (Wertesumme);Kurzfristige Forderungen (Wertedifferenz);Bestand Vorräte (Wertesumme);Eigenkapital (Einzelwert);Gesamtkapital (Einzelwert);Fremdkapital (Wertesumme);Langfristiges Fremdkapital (Wertesumme);Liquide Mittel (Wertesumme);Kurzfristige Verbindlichkeiten (Wertedifferenz);Langfristige Verbindlichkeiten (Wertesumme);Jahresüberschuss (Wertesumme);Bilanzgewinn (Wertesumme);Fremdkapitalzinsen;Personalaufwand;Materialaufwand;Gesamtleistung;Mitarbeiter;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1136;1137;1138;1139;1140;1141;1142;1143;1144;1145;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;1157;1158;1159;1160;1161;1162;1163;1164;1165;1166;1167;1168;1169;1170;1171;1172;1173;1174;1175;1176;1177;1178;1179;1180;1181;1182;1183;1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197;1198;1199;1200;1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219;1220;1221;1222;1223;1224;1225;1226;1227;1228;1229;1230;1231;1232;1233;1234;1235;1236
11;11;61;Ernst von Bergmann Care gemeinnützige GmbH;Potsdam;gGmbH;Potsdam;28465;461211848;René Schulz, Hans-Ulrich Schmidt;2018;0,393095016;0,546949407;0,470310435;0;0;0,989484072;;0;1,601823125;0,212995261;1,383259613;0,546949407;;0;;;;;488130,08;679180,47;1241761,05;584013,18;584013,18;0;0;1241761,05;1228702,78;781898,05;95167,29;446804,73;491000;17498,02;0;;;;0;102;488130,08;;;;413109;;;;;75021,08;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;-88719,49;25000;;;;;;;;;;;17498,02;;;;46221,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102;;;;;;46221,47;;;28229,03;;13058,27;290898,05;;;;;;;;;1241761,05;1241761,05;679180,47;;584013,18;;;;;;;;;;;;;;;;95167,29;;;;;;;;;937804,73;;;;;;446804,73;491000;;;;;;;;;;;;;;;;;;;;;;
12;12;67;gemeinnützige ProCurand Ambulante Pflege GmbH;Berlin;gGmbH;Charlottenburg;82582;461213748;Daniel Schuster;2018;0,084234076;0,914960012;0,626270266;0,001222411;0,681537348;0,317854019;0,466377992;8,09099332;9,779084802;1,636506067;;0,914960012;0,16778485;0;;;;;142273,96;1545395,76;1689030,93;1057789,85;1057789,85;2064,69;1151137,66;1689030,93;536865,27;240171,46;485541,22;296693,81;0;193143,46;0;;;;0;153;142273,96;;;;77850;;;;;64423,96;;;;;;;;;;;;;;;;;;;;1151137,66;;;;;;;;;;;;;;;;232994,2;;;;25000;;;;;;;;;193143,46;;;;700000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;1361,21;;1028;240171,46;;;;;;;;;1689030,93;1689030,93;1545395,76;;1057789,85;;;;;;;;;;;;485541,22;;;;;;;;2064,69;;;;;296693,81;;;;;;296693,81;;;;;;;;;;;;;;;;;;;;;;;
13;13;73;Gemeinschaftswerk Wohnen und Pflege GmbH;Nauen;gGmbH;Potsdam;27575;;Werner Futterlieb;2018;0,076230661;0,844725738;0,538959212;0,001687764;0,522644163;0,459915612;0,879978471;6,856088561;8,760147601;0,966041108;;0,844725738;0,241119483;0;0,780185534;25093,24009;0,049789825;1601,398601;271000;3003000;3555000;1916000;1916000;6000;1858000;3555000;1635000;516000;1081000;1119000;0;448000;0;;10765000;687000;13798000;429;271000;;;;8000;;;;8000;263000;263000;;;;;;;;;;;;;;;;;;;1858000;;;;;;;;;;;;;;1609000;;;;;;25000;;;;;;;;224000;;;;;;;;;;;;;;;;;;;;;183000;58000;125000;;;35000;;;;;;;;;;;236000;;;;;;;18000;;;;;;;;224000;;687000;190;497000;;;;;;;10765000;8883000;;1882000;;66000;;1880000;269000;;12000;;;;;;13511000;;12000;;2000;;;2328000;;248000;;;;;69;;23;78;227;5;429;6;;21;;;;;;281000;;25000;516000;516000;;;;;37000;;;3555000;3555000;3003000;;1916000;;;1600000;;8000;;77000;;231000;;;1081000;;;;;;;;6000;;6000;;;1119000;;;;;;;;;;705000;88000;18000;;;;63000;;;;351000;;;;;;;;;
14;14;79;H.L.S.E. Private Hauskrankenpflege UG (haftungsbeschränkt);Potsdam;UG (haftungsbeschänkt);Potsdam;24862;463203056;Elena Sutulin, Tamara Streltsova;2018;0,199037664;0,76134434;0,33520235;0;0;1;;0;2,200212837;0,758158893;1,915492892;0,76134434;;0;;;;;41816;159951,51;210090,89;70422,96;70422,96;0;0;210090,89;210090,89;92004,1;89528,55;118086,79;83504,1;106990,43;0;;;;0;;41816;;;;;;;;;41816;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;6997,24;;;;;;100;;;;;;;;;106990,43;;;;;;;;8323,38;122411,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8323,38;;;;;;8500;;;;;;;;;210090,89;210090,89;159951,51;;70422,96;;;;;;;;;;;;;;;89528,55;;;;;;;;;;201590,89;;;;;;118086,79;83504,1;;;;;;;;;;;;;;;;;;;;;;
15;15;85;Hauskrankenpflege Eckert GmbH;Kloster Lehnin;GmbH;Potsdam;34650;461200583;Evelyne Eckert, Silvana Reiß;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;16;91;Hauskrankenpflege Wohlfeld GmbH;Berlin;GmbH;Berlin (Charlottenburg);20824;461213793;Sabine Böhner-Schwanbeck;2018;0,106944075;0,822297452;0,531837672;0,004200804;0,615208177;0,380072079;0,617794257;5,752615812;6,779079006;1,059049858;;0,806183027;0;0,579361314;;;;;76374;587242,87;714148,96;379811,32;368303,22;3000;439350,28;714148,96;271428,08;78395,1;204431,55;193032,98;0;0;413750,28;;;;0;;76374;;;;9;;;;;76365;;;;;;;;;;;;;;;;;;;;439350,28;;;;413750,28;;;;;;;;;;;;;;;;25600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50532,09;;3370,6;78395,1;;;;;;;;;714148,96;714148,96;587242,87;;379811,32;;11508,1;;;;;;;;;;;;;204431,55;;;;;3000;;;;;193032,98;;;;;;193032,98;;;;;;;;;;;;;;;;;;;;;;;
17;17;97;HISB Betreuungsdienst Potsdam GmbH & Co. KG;Potsdam;GmbH & Co. KG;Potsdam;7005;461212100;René Jahnke;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;18;103;KARINA Hauskrankenpflege GmbH;Werder (Havel);GmbH;Potsdam;19104;461208193;Karina Eggert;2018;0,590486079;0,405175211;0,284566729;0,006244507;0,441846655;0,478779208;1,083586811;0,748276159;0,834129002;0,267152929;;0,405175211;0,240859283;0;;;;;1299843,27;891916,49;2201310,61;626419,76;626419,76;13746,1;972641,73;2201310,61;1053941,75;111595,24;251750,63;942346,51;0;234269,79;0;;;;0;80;1299843,27;;;;341;;;;;1299502,27;;;;;;;;;;;;;;;;;;;;972641,73;;;;;;;;;;;;;;;;725871,94;;;;;;12500;;;;;;;234269,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;9550,85;;;111595,24;;;;174727,13;;;;;2201310,61;2201310,61;891916,49;;626419,76;;;;;;;;;;;;;;;251750,63;;;;;13746,1;;;;;942346,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;19;109;Kipfl UG (haftungsbeschränkt);Potsdam;GmbH;Potsdam;23280;463201920;Andreas Patz;2018;0,015878492;0,87977328;0,852723831;0;;1;;;20,11849051;0,039746529;;0,87977328;;0,083154019;;;;;6744;373662,12;424725,47;362173,53;362173,53;0;;424725,47;424725,47;135679,1;11488,59;289046,37;0;0;35317,63;;;;0;52;6744;;;;781;;;;;5963;;;;;;;;;;;35317,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;35316,63;35316,63;;9002,72;;;135679,1;;;;;;;;;424725,47;424725,47;373662,12;;362173,53;;;;;;;;;;;;;;;11488,59;;;;;;;;;;289046,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;20;115;Kreuzpunkt Pflegedienst GmbH;Michendorf (Teltow OT Rühlsdorf);GmbH;Potsdam;22337;463201281;Hartmut Born, Gabriela Büge;2018;0,340516144;0,656299817;0,18502843;0;0,678369694;0,321630306;0,474122456;1,99218071;2,647051331;4,777870335;3,902787005;0,656299817;0,108312957;0;;;;;645678,82;1244460,5;1896176,82;350846,62;350846,62;0;1286308,89;1896176,82;609867,93;422836,09;893613,88;187031,84;318864,57;139323,92;0;;;;0;;645678,82;520;;;1190;;;;;643968,82;;;;;;;;;;;;;;;;;;;;1286308,89;;;;;;;;;;;;;;;;1121984,97;;;;;;25000;;;;;;;139323,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6037,5;;;103971,52;;;;;;;;;1896176,82;1896176,82;1244460,5;;350846,62;;;;;;;;;;;;;;;893613,88;;;;;;;;;;505896,41;;;;;;187031,84;318864,57;;;;;;;;;;;;;;;;;;;;;;
21;21;121;Lavendel-Residenz GmbH;Berlin;GmbH;Berlin (Charlottenburg);140259;461206215;Dr. Andreas Gerl;2018;0,319995409;0,675083228;0,113939064;0,007812369;0,135367805;0,759168332;5,608189702;0,423030461;1,380971873;1,222477494;5,968467339;0,675083228;0,579729526;0;;;;;409601;864121,04;1280021,49;145844,45;145844,45;10000;173273,7;1280021,49;971751,78;392373,76;708276,59;579378,02;143105,59;100451,88;0;;;;0;169;409601;25000;;;8516;;;;;376094;;;;;;;;;;;;;;;;;;;;173273,7;;;;;;;;;;;;;;;;;;;;511291,88;;;;;;;;;100451,88;;;;82034,51;;;;;520504,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;;;;;;;;;6290,45;;134996,01;249268,17;;;;;;;;;1280021,49;1280021,49;864121,04;;145844,45;;;;;;;;;;;;;;;708276,59;;;;;10000;;;;;722483,61;;;;;;579378,02;143105,59;;;;;;;;;;;;;;;;;;;;;;
22;22;127;Lietzmann Pflege- & Betreuungsdienst GmbH;Kloster Lehnin;GmbH;Potsdam;34392;461203826;Kathrin Lietzmann;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;23;133;LIONCARE Wohnen und Pflege GmbH;Nauen;GmbH;Potsdam;36135;501208569;Werner Futterlieb;2018;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;24;139;LiSA Hauskrankenpflege GmbH;Groß Kreutz (Havel);GmbH;Potsdam;29167;463203784;Karin Hampel;2018;0,12191361;0,846623699;0,440416715;0;0,815572858;0,184427142;0,226132026;6,689760538;6,845666856;2,455609269;;0,842743013;0,267685123;0;;;;;72287;501993,89;592936,26;261139,04;258838,04;0;483582,72;592936,26;109353,54;11270;240854,85;98083,54;0;129447,9;0;;;;0;22,25;72287;;;;2685;;;;;69602;;;;;;;;;;;;;;;;;;;;483582,72;;;;;;;;;;;;;;;;329134,82;;;;25000;;;;;;;;;129447,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,25;;;;;;;;;18655,37;;;11270;;;;;;;;;592936,26;592936,26;501993,89;;261139,04;;2301;;;;;;;;;;;;;240854,85;;;;;;;;;;98083,54;;;;;;71925,8;;;;;;;;;;;;;;;;;;;;;;;
