Zeilen ID;Name;Name Code;Sitz;Jahr;Teil;Seite (Bilanz);Position;Zahl;Titel (fein);Code nach Titel (fein);Wert (Euro)
36;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;1;A.;Anlagevermögen;1001;113228
37;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;2;A.I.;Anlagevermögen: Immaterielle Vermögensgegenstände;1005;6
38;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;3;A.II.;Anlagevermögen: Sachanlagen;1010;113222
39;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;4;B.;Umlaufvermögen;1180;451665,3
40;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;5;B.I.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände;1182;412387,44
41;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;6;B.I.a.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: davon gegen Gesellschafter;1183;94974,19
42;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;7;B.II.;Umlaufvermögen: Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;1197;39277,86
43;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;8;C.;Rechnungsabgrenzungsposten (Aktivaseite);1166;3272,48
44;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Aktiva;9;0;Summe Aktiva;1178;568165,78
45;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;10;A.;Eigenkapital;1030;272862,69
46;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;11;A.I.;Eigenkapital: gezeichnetes Kapital;1050;27000
47;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;12;A.II.;Eigenkapital: eingefordertes Kapital;1041;18000
48;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;13;A.III.;Eigenkapital: eigene Anteile;1040;9000
49;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;14;A.IV.;Eigenkapital: Gewinnrücklagen;1044;-66000
50;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;15;A.V.;Eigenkapital: Bilanzgewinn;1034;320862,69
51;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;16;A.V.a.;Eigenkapital: Bilanzgewinn: davon Gewinnvortrag;1036;210742,04
52;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;17;B.;Rückstellungen;1169;119650,96
53;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;18;C.;Verbindlichkeiten;1207;175652,13
54;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;19;C.a.;Verbindlichkeiten: davon mit einer Restlaufzeit bis zu einem Jahr;1213;103526,17
55;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;20;C.b.;Verbindlichkeiten: davon mit einer Restlaufzeit von mehr als einem Jahr;1214;72125,96
56;Advoco Pflegedienst GmbH;1;Potsdam;2020;Bilanz;Passiva;21;0;Summe Passiva;1179;568165,78
57;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;1;A.;Anlagevermögen;1001;92243
58;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;2;A.I.;Anlagevermögen: Immaterielle Vermögensgegenstände;1005;6
59;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;3;A.II.;Anlagevermögen: Sachanlagen;1010;92237
60;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;4;B.;Umlaufvermögen;1180;525405,63
61;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;5;B.I.;Umlaufvermögen: Vorräte;1202;2201,5
62;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;6;B.II.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände;1182;471386,01
63;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;7;B.II.a.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: davon gegen Gesellschafter;1183;65413,49
64;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;8;B.III.;Umlaufvermögen: Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;1197;51818,12
65;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;9;C.;Rechnungsabgrenzungsposten (Aktivaseite);1166;2843,33
66;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Aktiva;10;0;Summe Aktiva;1178;620491,96
67;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;11;A.;Eigenkapital;1030;322037,45
68;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;12;A.I.;Eigenkapital: ausgegebenes Kapital;1031;18000
69;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;13;A.I.1.;Eigenkapital: Ausgegebenes Kapital: Gezeichnetes Kapital;1033;27000
70;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;14;A.I.2.;Eigenkapital: ausgegebenes Kapital: Eigene Anteile;1032;-9000
71;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;15;A.II.;Eigenkapital: Gewinnrücklagen;1044;-66000
72;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;16;A.III.;Eigenkapital: Bilanzgewinn;1034;370037,45
73;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;17;A.III.a.;Eigenkapital: Bilanzgewinn: davon Gewinnvortrag;1036;320862,69
74;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;18;B.;Rückstellungen;1169;83061,32
75;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;19;C.;Verbindlichkeiten;1207;215393,19
76;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;20;C.a.;Verbindlichkeiten: davon mit einer Restlaufzeit bis zu einem Jahr;1213;167427,82
77;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;21;C.b.;Verbindlichkeiten: davon mit einer Restlaufzeit von mehr als einem Jahr;1214;47965,37
78;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;22;C.c.;Verbindlichkeiten: davon gegen Gesellschafter;1209;30000
79;Advoco Pflegedienst GmbH;1;Potsdam;2021;Bilanz;Passiva;23;0;Summe Passiva;1179;620491,96
80;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;1;A.;Anlagevermögen;1001;37826
81;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;2;A.I.;Anlagevermögen: Immaterielle Vermögensgegenstände;1005;17081
82;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;3;A.I.1.;Anlagevermögen: Immaterielle Vermögensgegenstände: entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;1006;17081
83;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;4;A.II.;Anlagevermögen: Sachanlagen;1010;20745
84;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;5;A.II.1.;Anlagevermögen: Sachanlagen: Einrichtungen und Ausstattungen ohne Fahrzeuge;1012;536
85;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;6;A.II.2.;Anlagevermögen: Sachanlagen: Fahrzeuge;1013;20209
86;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;7;B.;Umlaufvermögen;1180;20049,2
87;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;8;B.I.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände;1182;10506,4
88;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;9;B.I.1.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: Forderungen aus Lieferungen und Leistungen;1185;8362,62
89;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;10;B.I.2.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: sonstige Vermögensgegenstände;1191;2143,78
90;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;11;B.I.2.a.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: sonstige Vermögensgegenstände: davon mit einer Restlaufzeit von mehr als einem Jahr;1192;1998,24
91;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;12;B.II.;Umlaufvermögen: Kassenbestand, Guthaben bei Kreditinstituten und Schecks;1199;9542,8
92;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;13;C.;Rechnungsabgrenzungsposten (Aktivaseite);1166;266,37
93;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;14;D.;Nicht durch Eigenkapital gedeckter Fehlbetrag (Aktivaseite);1163;62401,18
94;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Aktiva;15;0;Summe Aktiva;1178;120542,75
95;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;16;A.;Eigenkapital;1030;0
96;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;17;A.I.;Eigenkapital: gezeichnetes Kapital;1050;2500
97;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;18;A.II.;Eigenkapital: Verlustvortrag;1068;68821,45
98;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;19;A.III.;Eigenkapital: Jahresüberschuss;1059;3920,27
99;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;20;A.IV.;Eigenkapital: Nicht gedeckter Fehlbetrag;1067;62401,18
100;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;21;B.;Rückstellungen;1169;6071,13
101;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;22;B.1.;Rückstellungen: Sonstige Rückstellungen;1170;6071,13
102;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;23;C.;Verbindlichkeiten;1207;114471,62
103;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;24;C.1.;Verbindlichkeiten: Verbindlichkeiten gegenüber Kreditinstituten;1227;65965
104;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;25;C.2.;Verbindlichkeiten: Verbindlichkeiten aus Lieferungen und Leistungen;1223;23232,22
105;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;26;C.2.a.;Verbindlichkeiten: Verbindlichkeiten aus Lieferungen und Leistungen: davon mit einer Restlaufzeit bis zu einem Jahr;1224;23232,22
106;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;27;C.3.;Verbindlichkeiten: Sonstige Verbindlichkeiten;1217;25274,4
107;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;28;C.3.a.;Verbindlichkeiten: Sonstige Verbindlichkeiten: davon mit einer Restlaufzeit bis zu einem Jahr;1220;1184,88
108;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;Bilanz;Passiva;29;0;Summe Passiva;1179;120542,75
109;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;1;A.;Anlagevermögen;1001;28498
110;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;2;A.I.;Anlagevermögen: Immaterielle Vermögensgegenstände;1005;2736
111;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;3;A.I.1.;Anlagevermögen: Immaterielle Vermögensgegenstände: entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;1006;2736
112;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;4;A.II.;Anlagevermögen: Sachanlagen;1010;25762
113;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;5;A.II.1.;Anlagevermögen: Sachanlagen: Einrichtungen und Ausstattungen ohne Fahrzeuge;1012;705
114;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;6;A.II.2.;Anlagevermögen: Sachanlagen: Fahrzeuge;1013;25057
115;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;7;B.;Umlaufvermögen;1180;17644,68
116;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;8;B.I.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände;1182;9754,12
117;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;9;B.I.1.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: Forderungen aus Lieferungen und Leistungen;1185;7262,98
118;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;10;B.I.2.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: sonstige Vermögensgegenstände;1191;2491,14
119;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;11;B.I.2.a.;Umlaufvermögen: Forderungen und sonstige Vermögensgegenstände: sonstige Vermögensgegenstände: davon mit einer Restlaufzeit von mehr als einem Jahr;1192;1998,24
120;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;12;B.II.;Umlaufvermögen: Kassenbestand, Guthaben bei Kreditinstituten und Schecks;1199;7890,56
121;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;13;C.;Rechnungsabgrenzungsposten (Aktivaseite);1166;196,39
122;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;14;D.;Nicht durch Eigenkapital gedeckter Fehlbetrag (Aktivaseite);1163;66321,45
123;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Aktiva;15;0;Summe Aktiva;1178;112660,52
124;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;16;A.;Eigenkapital;1030;0
125;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;17;A.I.;Eigenkapital: gezeichnetes Kapital;1050;2500
126;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;18;A.II.;Eigenkapital: Verlustvortrag;1068;10262,4
127;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;19;A.III.;Eigenkapital: Jahresüberschuss;1059;-58559,05
128;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;20;A.IV.;Eigenkapital: Nicht gedeckter Fehlbetrag;1067;66321,45
129;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;21;B.;Rückstellungen;1169;4909
130;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;22;B.1.;Rückstellungen: Sonstige Rückstellungen;1170;4909
131;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;23;C.;Verbindlichkeiten;1207;107751,52
132;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;24;C.1.;Verbindlichkeiten: Verbindlichkeiten gegenüber Kreditinstituten;1227;74305
133;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;25;C.2.;Verbindlichkeiten: Verbindlichkeiten aus Lieferungen und Leistungen;1223;7090,12
134;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;26;C.2.a.;Verbindlichkeiten: Verbindlichkeiten aus Lieferungen und Leistungen: davon mit einer Restlaufzeit bis zu einem Jahr;1224;7090,12
135;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;27;C.3.;Verbindlichkeiten: Sonstige Verbindlichkeiten;1217;26356,4
136;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;28;C.3.a.;Verbindlichkeiten: Sonstige Verbindlichkeiten: davon mit einer Restlaufzeit bis zu einem Jahr;1220;0
137;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;Bilanz;Passiva;29;0;Summe Passiva;1179;112660,52
138;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;30;1.;GuV: Erträge aus ambulanter, teilstationärer und vollstationärer Pflege sowie aus Kurzzeitpflege;1101;195128,45
139;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;31;2.;GuV: Umsatzerlöse nach § 277 Abs. 1 HGB (PBV), soweit nicht vorstehend enthalten;1138;124025,36
140;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;32;3.;GuV: Erträge aus gesonderter Berechnung von Investitionskosten gegenüber Pflegebedürftigen;1103;3301,58
141;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;33;4.;GuV: Zuweisungen und Zuschüsse zu Betriebskosten/der öffentlichen Hand;1143;7287,56
142;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;34;5.;GuV: sonstige betriebliche Erträge;1129;7669,5
143;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;35;6.;GuV: Materialaufwand;1112;31224,77
144;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;36;6.a.;GuV: Materialaufwand: Lebensmittel;1117;42,53
145;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;37;6.b.;GuV: Materialaufwand: Wasser, Energie, Brennstoffe;1118;1395,21
146;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;38;6.c.;GuV: Materialaufwand: Wirtschaftsbedarf/Verwaltungsbedarf;1119;29787,03
147;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;39;7.;GuV: Steuern, Abgaben, Versicherungen;1136;5300,59
148;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;40;8.;GuV: Mieten, Pacht, Leasing;1120;9768,96
149;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;41;9.;GuV: Personalaufwand;1121;272692,72
150;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;42;9.a.;GuV: Personalaufwand: Löhne und Gehälter;1122;217729,73
151;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;43;9.b.;GuV: Personalaufwand: soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;1124;54962,99
152;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;44;9.b.a.;GuV: Personalaufwand: soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung: davon Aufwendungen für Altersversorgung;1125;3120
153;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;45;10.;GuV: Abschreibungen;1076;9046,12
154;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;46;10.a.;GuV: Abschreibungen: auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;1083;9046,12
155;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;47;11.;GuV: sonstige betriebliche Aufwendungen;1128;2621,83
156;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;48;12.;GuV: sonstige Zinsen und ähnliche Erträge;1132;0
157;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;49;13.;GuV: Zinsen und ähnliche Aufwendungen;1139;2837,19
158;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2020;GuV;-;50;14.;GuV: Jahresüberschuss;1111;3920,27
159;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;GuV;-;30;1.;GuV: Erträge aus ambulanter, teilstationärer und vollstationärer Pflege sowie aus Kurzzeitpflege;1101;124272,31
160;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;GuV;-;31;2.;GuV: Umsatzerlöse nach § 277 Abs. 1 HGB (PBV), soweit nicht vorstehend enthalten;1138;82827,43
161;Ambulante Pflege Lehmann UG (haftungsbeschränkt);2;Potsdam;2019;GuV;-;32;3.;GuV: Erträge aus gesonderter Berechnung von Investitionskosten gegenüber Pflegebedürftigen;1103;1933,63
